Day,Incidence,Brand,Quantity,Last_Inc_Brand,Last_Inc_Quantity,Price_1,Price_2,Price_3,Price_4,Price_5,Promotion_1,Promotion_2,Promotion_3,Promotion_4,Promotion_5,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
369,0,0,0,0,0,1.21,1.53,2.02,2.21,2.68,0,1,0,0,0,0,0,47,1,110866,1,0
380,0,0,0,0,0,1.21,1.87,2.02,2.21,2.71,1,0,0,0,0,0,0,47,1,110866,1,0
381,0,0,0,0,0,1.24,1.87,2.02,2.21,2.71,1,0,0,0,0,0,0,47,1,110866,1,0
395,0,0,0,0,0,1.34,1.89,2.02,1.94,2.7,0,1,0,1,0,0,0,47,1,110866,1,0
402,0,0,0,0,0,1.47,1.89,2.02,2.21,2.69,0,0,0,0,0,0,0,47,1,110866,1,0
410,0,0,0,0,0,1.33,1.89,2.02,2.21,2.7,0,0,0,0,0,0,0,47,1,110866,1,0
419,0,0,0,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,0,0,47,1,110866,1,0
423,0,0,0,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,0,0,47,1,110866,1,0
425,0,0,0,0,0,1.34,1.57,2.02,1.98,2.64,0,1,0,1,1,0,0,47,1,110866,1,0
435,0,0,0,0,0,1.38,1.77,2.02,2.18,2.66,0,0,0,0,0,0,0,47,1,110866,1,0
456,0,0,0,0,0,1.48,1.77,2.02,2.21,2.7,0,0,0,0,0,0,0,47,1,110866,1,0
463,0,0,0,0,0,1.35,1.57,2.02,2.21,2.7,1,1,0,0,0,0,0,47,1,110866,1,0
470,0,0,0,0,0,1.39,1.36,2.02,2.21,2.7,0,1,0,0,0,0,0,47,1,110866,1,0
477,0,0,0,0,0,1.26,1.88,1.99,2.21,2.7,1,0,0,0,0,0,0,47,1,110866,1,0
484,0,0,0,0,0,1.39,1.88,2.01,2.21,2.7,0,0,0,0,0,0,0,47,1,110866,1,0
491,0,0,0,0,0,1.33,1.57,2.06,2.21,2.58,1,1,0,0,0,0,0,47,1,110866,1,0
494,0,0,0,0,0,1.33,1.57,2.06,2.21,2.58,1,1,0,0,0,0,0,47,1,110866,1,0
497,0,0,0,0,0,1.33,1.57,2.06,2.21,2.58,0,0,0,0,0,0,0,47,1,110866,1,0
510,0,0,0,0,0,1.34,1.88,2.07,2.26,2.43,0,0,0,0,0,0,0,47,1,110866,1,0
517,0,0,0,0,0,1.47,1.51,2.07,1.96,2.64,0,1,0,1,0,0,0,47,1,110866,1,0
543,0,0,0,0,0,1.47,1.56,2.05,2.26,2.59,0,1,0,0,0,0,0,47,1,110866,1,0
547,1,2,2,0,0,1.35,1.89,2.07,2.26,2.63,1,0,0,0,0,0,0,47,1,110866,1,0
562,1,2,3,2,1,1.33,1.51,2.07,2.26,2.62,1,1,0,0,0,0,0,47,1,110866,1,0
569,0,0,0,2,1,1.48,1.89,2.07,2.26,2.6,0,0,0,0,0,0,0,47,1,110866,1,0
583,0,0,0,0,0,1.34,1.57,2.01,2.24,2.72,0,1,0,0,0,0,0,47,1,110866,1,0
590,0,0,0,0,0,1.26,1.89,2.06,2.19,2.49,1,0,0,1,0,0,0,47,1,110866,1,0
596,0,0,0,0,0,1.35,1.83,2.06,2.24,2.59,1,1,0,0,0,0,0,47,1,110866,1,0
604,0,0,0,0,0,1.41,1.81,2.06,2.24,2.79,0,0,0,0,0,0,0,47,1,110866,1,0
611,0,0,0,0,0,1.32,1.89,2.06,2.24,2.75,1,0,0,0,0,0,0,47,1,110866,1,0
612,0,0,0,0,0,1.32,1.89,2.06,2.24,2.75,0,1,0,0,0,0,0,47,1,110866,1,0
629,0,0,0,0,0,1.25,1.89,2.11,2.24,2.79,1,0,1,0,0,0,0,47,1,110866,1,0
637,0,0,0,0,0,1.31,1.56,2.0,2.24,2.79,1,1,1,0,0,0,0,47,1,110866,1,0
644,0,0,0,0,0,1.5,1.85,2.06,2.24,2.79,1,0,0,0,0,0,0,47,1,110866,1,0
648,0,0,0,0,0,1.5,1.85,2.06,2.24,2.79,0,0,0,0,0,0,0,47,1,110866,1,0
649,0,0,0,0,0,1.5,1.85,2.06,2.24,2.79,0,0,0,0,0,0,0,47,1,110866,1,0
656,0,0,0,0,0,1.26,1.88,2.06,2.24,2.78,1,1,0,0,0,0,0,47,1,110866,1,0
670,0,0,0,0,0,1.42,1.86,2.06,2.24,2.72,0,0,0,0,0,0,0,47,1,110866,1,0
682,0,0,0,0,0,1.34,1.85,2.06,2.24,2.77,1,1,0,0,0,0,0,47,1,110866,1,0
689,0,0,0,0,0,1.5,1.87,2.06,2.24,2.78,0,0,0,0,0,0,0,47,1,110866,1,0
702,1,5,1,0,0,1.41,1.85,2.0,2.24,2.79,0,0,1,0,0,0,0,47,1,110866,1,0
717,0,0,0,5,1,1.5,1.8,2.14,2.24,2.75,0,0,0,0,0,0,0,47,1,110866,1,0
726,0,0,0,0,0,1.51,1.82,2.09,2.24,2.8,0,0,0,0,0,0,0,47,1,110866,1,0
727,0,0,0,0,0,1.5,1.82,2.09,2.24,2.8,0,0,0,0,0,0,0,47,1,110866,1,0
6,1,4,1,0,0,1.59,1.87,2.01,2.09,2.66,0,0,0,0,0,1,1,52,2,159052,2,1
11,0,0,0,4,1,1.51,1.89,1.99,2.09,2.66,0,0,0,0,0,1,1,52,2,159052,2,1
18,0,0,0,0,0,1.52,1.89,1.99,2.09,2.66,0,0,0,0,0,1,1,52,2,159052,2,1
24,0,0,0,0,0,1.5,1.9,1.99,2.09,2.66,0,0,0,0,0,1,1,52,2,159052,2,1
25,0,0,0,0,0,1.5,1.9,1.99,2.09,2.66,0,0,0,0,0,1,1,52,2,159052,2,1
38,0,0,0,0,0,1.5,1.9,1.99,2.09,2.67,0,0,0,0,0,1,1,52,2,159052,2,1
43,0,0,0,0,0,1.35,1.58,1.97,2.09,2.67,1,1,1,0,0,1,1,52,2,159052,2,1
50,0,0,0,0,0,1.35,1.87,1.93,2.09,2.34,1,0,1,0,0,1,1,52,2,159052,2,1
58,0,0,0,0,0,1.39,1.9,1.91,2.12,2.62,1,0,0,0,1,1,1,52,2,159052,2,1
63,0,0,0,0,0,1.39,1.89,1.91,2.12,2.67,0,0,0,0,0,1,1,52,2,159052,2,1
72,0,0,0,0,0,1.39,1.89,1.91,2.12,2.54,0,1,0,0,0,1,1,52,2,159052,2,1
79,0,0,0,0,0,1.47,1.85,1.95,2.12,2.5,0,0,0,0,1,1,1,52,2,159052,2,1
86,0,0,0,0,0,1.39,1.9,1.95,2.12,2.49,0,0,0,0,0,1,1,52,2,159052,2,1
94,0,0,0,0,0,1.39,1.58,1.99,2.11,2.61,0,0,0,0,0,1,1,52,2,159052,2,1
100,1,4,2,0,0,1.47,1.9,1.95,2.12,2.67,0,0,0,1,0,1,1,52,2,159052,2,1
117,0,0,0,4,1,1.43,1.35,1.95,2.16,2.67,1,1,0,0,0,1,1,52,2,159052,2,1
129,0,0,0,0,0,1.19,1.89,1.99,2.16,2.67,1,0,0,0,0,1,1,52,2,159052,2,1
139,0,0,0,0,0,1.17,1.9,1.99,2.16,2.67,1,0,0,0,0,1,1,52,2,159052,2,1
145,0,0,0,0,0,1.36,1.35,1.99,2.16,2.64,0,0,0,0,0,1,1,52,2,159052,2,1
152,0,0,0,0,0,1.39,1.9,1.94,2.16,2.51,1,0,0,0,0,1,1,52,2,159052,2,1
165,0,0,0,0,0,1.39,1.9,1.94,2.16,2.61,1,0,0,0,0,1,1,52,2,159052,2,1
171,0,0,0,0,0,1.39,1.9,1.99,2.16,2.49,0,1,0,0,0,1,1,52,2,159052,2,1
185,0,0,0,0,0,1.32,1.88,1.97,1.89,2.49,0,0,0,0,0,1,1,52,2,159052,2,1
192,0,0,0,0,0,1.35,1.88,1.99,2.16,2.19,0,1,0,0,0,1,1,52,2,159052,2,1
199,0,0,0,0,0,1.49,1.57,1.99,2.16,2.66,0,0,0,0,0,1,1,52,2,159052,2,1
204,0,0,0,0,0,1.49,1.9,1.97,2.16,2.34,0,0,0,0,0,1,1,52,2,159052,2,1
210,0,0,0,0,0,1.49,1.9,1.99,1.97,2.66,0,0,0,1,0,1,1,52,2,159052,2,1
218,0,0,0,0,0,1.34,1.89,1.99,2.13,2.36,0,0,0,0,0,1,1,52,2,159052,2,1
220,0,0,0,0,0,1.34,1.89,1.99,2.13,2.67,0,1,0,1,0,1,1,52,2,159052,2,1
227,0,0,0,0,0,1.27,1.52,1.95,1.97,2.67,1,1,0,1,0,1,1,52,2,159052,2,1
230,0,0,0,0,0,1.27,1.52,1.95,1.97,2.67,1,1,0,1,0,1,1,52,2,159052,2,1
231,0,0,0,0,0,1.27,1.52,1.95,1.97,2.67,1,0,0,0,0,1,1,52,2,159052,2,1
244,0,0,0,0,0,1.46,1.89,1.91,2.16,2.67,0,0,0,0,0,1,1,52,2,159052,2,1
252,0,0,0,0,0,1.46,1.89,1.99,2.16,2.67,0,1,0,0,0,1,1,52,2,159052,2,1
264,0,0,0,0,0,1.37,1.26,1.96,2.16,2.67,1,1,0,0,0,1,1,52,2,159052,2,1
270,0,0,0,0,0,1.37,1.27,1.96,2.16,2.67,1,0,0,0,0,1,1,52,2,159052,2,1
277,0,0,0,0,0,1.4,1.89,2.0,2.16,2.64,0,0,0,0,0,1,1,52,2,159052,2,1
283,1,4,3,0,0,1.37,1.89,2.0,2.14,2.64,0,0,0,0,0,1,1,52,2,159052,2,1
290,0,0,0,4,1,1.49,1.89,2.0,2.17,2.67,0,0,0,0,0,1,1,52,2,159052,2,1
296,0,0,0,0,0,1.48,1.89,2.01,2.18,2.69,0,0,0,0,0,1,1,52,2,159052,2,1
307,1,4,1,0,0,1.34,1.89,2.01,2.03,2.68,1,0,0,1,0,1,1,52,2,159052,2,1
310,0,0,0,4,1,1.2,1.89,2.01,2.03,2.7,0,1,0,0,0,1,1,52,2,159052,2,1
324,0,0,0,0,0,1.33,1.89,1.98,2.21,2.7,0,0,0,1,0,1,1,52,2,159052,2,1
331,0,0,0,0,0,1.47,1.89,2.01,1.9,2.7,0,0,0,1,0,1,1,52,2,159052,2,1
336,0,0,0,0,0,1.47,1.89,2.02,1.9,2.69,0,0,0,0,0,1,1,52,2,159052,2,1
349,0,0,0,0,0,1.29,1.89,1.97,2.21,2.61,1,1,0,0,0,1,1,52,2,159052,2,1
354,0,0,0,0,0,1.23,1.81,1.97,2.21,2.66,1,1,0,0,0,1,1,52,2,159052,2,1
363,0,0,0,0,0,1.27,1.89,2.02,2.2,2.67,0,1,0,0,0,1,1,52,2,159052,2,1
384,0,0,0,0,0,1.23,1.87,2.02,2.21,2.71,0,0,0,0,0,1,1,52,2,159052,2,1
392,0,0,0,0,0,1.47,1.89,2.02,1.94,2.7,0,1,0,1,0,1,1,52,2,159052,2,1
417,0,0,0,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,1,1,52,2,159052,2,1
419,0,0,0,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,1,1,52,2,159052,2,1
422,1,4,1,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,1,1,52,2,159052,2,1
423,0,0,0,4,1,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,1,1,52,2,159052,2,1
430,0,0,0,0,0,1.34,1.57,2.02,1.98,2.64,0,1,0,0,0,1,1,52,2,159052,2,1
440,0,0,0,0,0,1.47,1.89,2.02,2.18,2.64,0,1,0,0,0,1,1,52,2,159052,2,1
451,0,0,0,0,0,1.47,1.77,2.02,2.21,2.7,0,0,0,0,0,1,1,52,2,159052,2,1
458,0,0,0,0,0,1.47,1.48,2.02,2.21,2.7,0,1,0,0,0,1,1,52,2,159052,2,1
459,1,4,1,0,0,1.47,1.48,2.02,2.21,2.7,0,1,0,0,0,1,1,52,2,159052,2,1
468,1,4,2,4,1,1.28,1.36,2.02,2.21,2.68,0,1,0,0,0,1,1,52,2,159052,2,1
471,1,4,3,4,1,1.39,1.36,2.02,2.21,2.7,0,0,0,0,0,1,1,52,2,159052,2,1
479,0,0,0,4,1,1.35,1.88,1.99,2.21,2.7,0,0,0,0,0,1,1,52,2,159052,2,1
498,1,2,3,0,0,1.19,1.57,2.06,2.21,2.54,0,0,0,0,1,1,1,52,2,159052,2,1
508,1,4,1,2,1,1.34,1.88,2.07,2.26,2.49,0,0,0,0,0,1,1,52,2,159052,2,1
531,0,0,0,4,1,1.35,1.89,2.07,2.26,2.66,0,0,0,0,0,1,1,52,2,159052,2,1
538,1,4,2,0,0,1.47,1.86,2.07,2.26,2.64,0,1,0,0,0,1,1,52,2,159052,2,1
548,0,0,0,4,1,1.35,1.89,2.07,2.26,2.63,1,0,0,0,0,1,1,52,2,159052,2,1
561,0,0,0,0,0,1.33,1.51,2.07,2.26,2.62,1,1,0,0,0,1,1,52,2,159052,2,1
571,0,0,0,0,0,1.5,1.89,2.01,2.26,2.64,0,0,0,0,0,1,1,52,2,159052,2,1
585,0,0,0,0,0,1.5,1.57,2.01,2.24,2.55,0,0,0,1,0,1,1,52,2,159052,2,1
592,0,0,0,0,0,1.42,1.89,2.06,2.19,2.39,1,0,0,0,0,1,1,52,2,159052,2,1
600,0,0,0,0,0,1.39,1.83,2.06,2.24,2.77,0,0,0,0,0,1,1,52,2,159052,2,1
612,0,0,0,0,0,1.32,1.89,2.06,2.24,2.75,0,1,0,0,0,1,1,52,2,159052,2,1
632,0,0,0,0,0,1.41,1.89,2.11,2.24,2.79,0,1,0,0,0,1,1,52,2,159052,2,1
644,0,0,0,0,0,1.5,1.85,2.06,2.24,2.79,1,0,0,0,0,1,1,52,2,159052,2,1
646,0,0,0,0,0,1.5,1.85,2.06,2.24,2.79,0,0,0,0,0,1,1,52,2,159052,2,1
647,0,0,0,0,0,1.5,1.85,2.06,2.24,2.79,0,0,0,0,0,1,1,52,2,159052,2,1
658,0,0,0,0,0,1.26,1.88,2.06,2.24,2.79,0,0,0,0,0,1,1,52,2,159052,2,1
672,0,0,0,0,0,1.42,1.86,2.06,2.24,2.76,0,0,0,0,0,1,1,52,2,159052,2,1
677,0,0,0,0,0,1.42,1.85,2.06,2.24,2.77,0,1,0,0,0,1,1,52,2,159052,2,1
685,0,0,0,0,0,1.42,1.87,2.06,2.24,2.77,0,0,0,0,0,1,1,52,2,159052,2,1
692,0,0,0,0,0,1.42,1.87,2.06,2.24,2.78,0,1,0,0,0,1,1,52,2,159052,2,1
698,0,0,0,0,0,1.42,1.51,1.97,2.24,2.77,0,0,0,0,0,1,1,52,2,159052,2,1
709,0,0,0,0,0,1.36,1.84,2.09,2.24,2.8,0,0,0,0,0,1,1,52,2,159052,2,1
715,0,0,0,0,0,1.5,1.8,2.09,2.24,2.79,0,0,0,0,0,1,1,52,2,159052,2,1
719,0,0,0,0,0,1.5,1.8,2.14,2.24,2.79,0,0,0,0,0,1,1,52,2,159052,2,1
729,0,0,0,0,0,1.5,1.82,2.09,2.24,2.8,0,0,0,0,0,1,1,52,2,159052,2,1
5,1,2,3,0,0,1.59,1.87,1.97,2.09,2.66,0,0,0,0,0,0,0,28,0,113212,1,0
9,0,0,0,2,1,1.51,1.89,1.99,2.09,2.66,0,0,0,0,0,0,0,28,0,113212,1,0
12,0,0,0,0,0,1.51,1.89,1.99,2.09,2.66,0,0,0,0,0,0,0,28,0,113212,1,0
22,0,0,0,0,0,1.5,1.9,1.99,2.09,2.66,0,0,0,0,0,0,0,28,0,113212,1,0
26,0,0,0,0,0,1.5,1.9,1.99,2.09,2.67,0,0,0,0,0,0,0,28,0,113212,1,0
49,0,0,0,0,0,1.35,1.87,1.93,2.09,2.59,1,0,1,0,0,0,0,28,0,113212,1,0
56,0,0,0,0,0,1.39,1.9,1.91,2.12,2.62,1,0,1,0,1,0,0,28,0,113212,1,0
70,0,0,0,0,0,1.39,1.89,1.91,2.12,2.67,1,0,0,0,0,0,0,28,0,113212,1,0
71,0,0,0,0,0,1.39,1.89,1.91,2.12,2.67,1,1,0,0,0,0,0,28,0,113212,1,0
78,0,0,0,0,0,1.47,1.85,1.95,2.12,2.5,0,0,0,0,1,0,0,28,0,113212,1,0
85,0,0,0,0,0,1.47,1.9,1.95,2.12,2.44,0,1,0,0,0,0,0,28,0,113212,1,0
92,0,0,0,0,0,1.39,1.46,1.99,2.12,2.4,0,0,0,0,0,0,0,28,0,113212,1,0
99,0,0,0,0,0,1.47,1.9,1.95,2.12,2.67,0,0,0,1,0,0,0,28,0,113212,1,0
117,0,0,0,0,0,1.43,1.35,1.95,2.16,2.67,1,1,0,0,0,0,0,28,0,113212,1,0
125,0,0,0,0,0,1.39,1.84,1.93,2.16,2.67,1,0,0,0,0,0,0,28,0,113212,1,0
132,0,0,0,0,0,1.19,1.89,1.99,2.16,2.67,1,0,0,0,0,0,0,28,0,113212,1,0
133,0,0,0,0,0,1.19,1.89,1.99,2.16,2.67,1,0,0,0,0,0,0,28,0,113212,1,0
137,0,0,0,0,0,1.19,1.89,1.99,2.16,2.67,1,1,0,0,0,0,0,28,0,113212,1,0
144,0,0,0,0,0,1.21,1.35,1.99,2.16,2.67,1,0,0,0,0,0,0,28,0,113212,1,0
151,0,0,0,0,0,1.39,1.9,1.99,2.16,2.64,1,0,0,0,0,0,0,28,0,113212,1,0
163,0,0,0,0,0,1.39,1.9,1.94,2.16,2.61,1,0,0,0,0,0,0,28,0,113212,1,0
173,1,5,1,0,0,1.49,1.5,1.97,2.16,2.49,0,1,0,0,0,0,0,28,0,113212,1,0
175,0,0,0,5,1,1.48,1.5,1.97,2.16,2.49,0,1,0,0,0,0,0,28,0,113212,1,0
177,0,0,0,0,0,1.48,1.5,1.99,2.16,2.49,0,0,0,1,0,0,0,28,0,113212,1,0
190,1,5,1,0,0,1.35,1.88,1.99,2.16,2.44,0,0,0,0,0,0,0,28,0,113212,1,0
191,0,0,0,5,1,1.35,1.88,1.99,2.16,2.43,0,1,0,0,0,0,0,28,0,113212,1,0
198,0,0,0,0,0,1.35,1.56,1.99,2.16,2.66,0,0,0,0,0,0,0,28,0,113212,1,0
205,0,0,0,0,0,1.49,1.9,1.97,2.16,2.34,0,0,0,0,0,0,0,28,0,113212,1,0
212,0,0,0,0,0,1.49,1.78,1.99,1.97,2.67,0,0,0,0,0,0,0,28,0,113212,1,0
226,0,0,0,0,0,1.27,1.52,1.95,1.97,2.67,1,1,0,1,0,0,0,28,0,113212,1,0
230,0,0,0,0,0,1.27,1.52,1.95,1.97,2.67,1,1,0,1,0,0,0,28,0,113212,1,0
231,0,0,0,0,0,1.27,1.52,1.95,1.97,2.67,1,0,0,0,0,0,0,28,0,113212,1,0
238,0,0,0,0,0,1.46,1.89,1.89,2.16,2.67,0,0,0,0,0,0,0,28,0,113212,1,0
243,0,0,0,0,0,1.46,1.89,1.89,2.16,2.67,0,0,0,0,0,0,0,28,0,113212,1,0
250,0,0,0,0,0,1.46,1.89,1.99,2.15,2.66,0,1,0,0,0,0,0,28,0,113212,1,0
257,0,0,0,0,0,1.46,1.57,2.0,2.16,2.64,0,1,0,0,0,0,0,28,0,113212,1,0
264,1,2,2,0,0,1.37,1.26,1.96,2.16,2.67,1,1,0,0,0,0,0,28,0,113212,1,0
265,0,0,0,2,1,1.37,1.26,1.96,2.16,2.67,1,1,0,0,0,0,0,28,0,113212,1,0
269,0,0,0,0,0,1.37,1.26,1.96,2.16,2.67,1,0,0,0,0,0,0,28,0,113212,1,0
276,0,0,0,0,0,1.4,1.89,2.0,2.16,2.64,0,0,0,0,0,0,0,28,0,113212,1,0
283,0,0,0,0,0,1.37,1.89,2.0,2.14,2.64,0,0,0,0,0,0,0,28,0,113212,1,0
290,0,0,0,0,0,1.49,1.89,2.0,2.17,2.67,0,0,0,0,0,0,0,28,0,113212,1,0
298,0,0,0,0,0,1.48,1.89,2.01,2.18,2.69,0,0,0,0,0,0,0,28,0,113212,1,0
302,0,0,0,0,0,1.48,1.89,1.97,2.18,2.68,0,0,0,1,0,0,0,28,0,113212,1,0
309,0,0,0,0,0,1.34,1.89,2.01,2.03,2.69,0,1,0,0,0,0,0,28,0,113212,1,0
323,0,0,0,0,0,1.33,1.89,1.98,2.21,2.7,0,0,0,1,0,0,0,28,0,113212,1,0
332,0,0,0,0,0,1.47,1.89,2.01,1.9,2.7,0,0,0,1,0,0,0,28,0,113212,1,0
342,0,0,0,0,0,1.4,1.89,2.02,2.02,2.6,1,0,0,0,0,0,0,28,0,113212,1,0
355,0,0,0,0,0,1.26,1.81,1.97,2.21,2.66,1,1,0,0,0,0,0,28,0,113212,1,0
356,0,0,0,0,0,1.23,1.81,1.97,2.21,2.67,0,0,0,0,0,0,0,28,0,113212,1,0
363,0,0,0,0,0,1.27,1.89,2.02,2.2,2.67,0,1,0,0,0,0,0,28,0,113212,1,0
377,0,0,0,0,0,1.21,1.87,2.02,2.21,2.71,1,0,0,0,0,0,0,28,0,113212,1,0
382,0,0,0,0,0,1.24,1.87,2.02,2.21,2.71,0,0,0,0,0,0,0,28,0,113212,1,0
